7.88021, latitude, -13.2915, longitude, -14.4525
3.01302, latitude, -19.121, longitude, -14.453
0.824219, latitude, -21.5776, longitude, -16.0024
7.57161, latitude, -15.8077, longitude, -16.0027
0.550781, latitude, -10.0627, longitude, -16.0026
4.03385, latitude, 17.0631, longitude, -17.732
4.06641, latitude, 17.0631, longitude, -17.732
3.49219, latitude, 11.2596, longitude, -17.7314
7.52344, latitude, -12.1887, longitude, -17.7314
3.77865, latitude, -18.049, longitude, -17.7315
6.97135, latitude, -17.976, longitude, -19.305
5.32422, latitude, -12.2116, longitude, -19.3048
3.77214, latitude, 11.3684, longitude, -19.3049
2.46354, latitude, 17.1503, longitude, -19.3047
2.57292, latitude, 18.1304, longitude, -21.0653
3.75521, latitude, 12.2375, longitude, -21.0653
1.40365, latitude, -11.1402, longitude, -21.065
2.27734, latitude, -17.1192, longitude, -21.0655
2.28776, latitude, -17.1192, longitude, -21.0655
0.927083, latitude, -24.6682, longitude, -22.4153
0.99349, latitude, -12.9715, longitude, -22.4154
3.33854, latitude, 10.4793, longitude, -22.4153
3.25521, latitude, 16.2371, longitude, -22.4151
0.657552, latitude, 25.8261, longitude, -24.1249
2.70052, latitude, 14.084, longitude, -24.125
1.3138, latitude, 8.30782, longitude, -25.606
2.61979, latitude, 14.3495, longitude, -25.606
1.84375, latitude, 16.1032, longitude, -27.4687
1.45703, latitude, 10.3022, longitude, -27.4687
0.497396, latitude, 12.3928, longitude, -28.8302
