25.8815, latitude, -72.9487, longitude, 9.69655
18.6211, latitude, -72.9488, longitude, 9.69643
23.3372, latitude, -61.3249, longitude, 9.69658
28.6732, latitude, -61.3249, longitude, 9.69658
28.0339, latitude, -49.4813, longitude, 9.69651
30.7786, latitude, -49.4813, longitude, 9.69651
28.1328, latitude, -37.7992, longitude, 9.69648
19.388, latitude, -37.7988, longitude, 9.69651
20.2188, latitude, -26.1204, longitude, 9.69651
15.8203, latitude, -26.1203, longitude, 9.69681
9.46354, latitude, -14.3937, longitude, 9.69641
0.677083, latitude, -8.46516, longitude, 9.69628
4.32943, latitude, -2.60033, longitude, 9.69633
18.069, latitude, 3.10635, longitude, 9.69677
19.6628, latitude, 9.14104, longitude, 9.69657
13.6471, latitude, 14.8695, longitude, 9.69659
4.32031, latitude, 20.8744, longitude, 9.69672
1.58724, latitude, 26.5442, longitude, 9.69666
1.63932, latitude, 26.5442, longitude, 9.69666
5.4349, latitude, 32.5142, longitude, 9.69639
10.1784, latitude, 32.5144, longitude, 9.69673
2.35807, latitude, 68.7425, longitude, 9.6967
3.81901, latitude, 74.4907, longitude, 9.6965
3.67839, latitude, 74.4907, longitude, 9.6965
10.3958, latitude, 80.4183, longitude, 9.69656
10.8568, latitude, 80.4191, longitude, 9.69653
17.9245, latitude, 84.6351, longitude, 11.277
8.84505, latitude, 78.7131, longitude, 11.2773
6.33464, latitude, 72.835, longitude, 11.2771
0.763021, latitude, 66.9656, longitude, 11.277
0.701823, latitude, 66.9656, longitude, 11.277
2.64193, latitude, 43.5963, longitude, 11.2772
10.918, latitude, 37.6702, longitude, 11.2771
2.86589, latitude, 31.8611, longitude, 11.2771
2.65365, latitude, 31.8611, longitude, 11.2771
3.15365, latitude, 25.9525, longitude, 11.2773
9.13932, latitude, 20.1723, longitude, 11.2772
19.6172, latitude, 14.2236, longitude, 11.2771
24.2812, latitude, 8.41399, longitude, 11.2774
24.2617, latitude, 8.41399, longitude, 11.2774
16.2878, latitude, 2.51729, longitude, 11.2776
3.20312, latitude, -3.30214, longitude, 11.2774
0.403646, latitude, -9.22593, longitude, 11.2774
10.4479, latitude, -15.1035, longitude, 11.2773
10.9844, latitude, -15.1035, longitude, 11.2773
20.4427, latitude, -20.8865, longitude, 11.2774
21.043, latitude, -26.7334, longitude, 11.2774
21.0052, latitude, -32.6475, longitude, 11.2776
28.5391, latitude, -38.3606, longitude, 11.2772
28.1471, latitude, -44.392, longitude, 11.2777
29.6745, latitude, -50.2837, longitude, 11.2775
29.849, latitude, -50.2837, longitude, 11.2775
24.0716, latitude, -56.1723, longitude, 11.2773
25.1536, latitude, -56.1722, longitude, 11.2772
20.4375, latitude, -67.8855, longitude, 11.2776
29.4492, latitude, -73.6061, longitude, 11.2775
29.3229, latitude, -73.6061, longitude, 11.2775
6.59505, latitude, -79.5077, longitude, 11.2774
14.4557, latitude, -78.545, longitude, 12.8712
22.9831, latitude, -72.8795, longitude, 12.8709
19.8229, latitude, -66.8677, longitude, 12.8712
22.0091, latitude, -61.1154, longitude, 12.8711
21.8815, latitude, -61.1154, longitude, 12.8711
24.4518, latitude, -55.1755, longitude, 12.8711
28.1901, latitude, -55.1755, longitude, 12.8709
25.2435, latitude, -43.3627, longitude, 12.8709
29.0573, latitude, -43.3629, longitude, 12.8712
18.5326, latitude, -31.6778, longitude, 12.8713
28.194, latitude, -31.6776, longitude, 12.8708
14.4336, latitude, -20.0417, longitude, 12.8712
7.64974, latitude, -20.0418, longitude, 12.871
10.8867, latitude, -2.47557, longitude, 12.8709
27.6211, latitude, 3.53686, longitude, 12.871
23.5339, latitude, 9.28465, longitude, 12.8709
21.694, latitude, 15.1764, longitude, 12.8711
13.7682, latitude, 20.9779, longitude, 12.8709
13.5352, latitude, 20.9779, longitude, 12.8709
7.10547, latitude, 26.9059, longitude, 12.871
1.34115, latitude, 32.6807, longitude, 12.8711
2.73698, latitude, 38.7001, longitude, 12.871
1.34635, latitude, 62.0675, longitude, 12.8705
7.98958, latitude, 67.9426, longitude, 12.8711
13.6523, latitude, 73.7581, longitude, 12.8711
22.4049, latitude, 79.658, longitude, 12.8711
17.1901, latitude, 85.5149, longitude, 12.8711
21.4753, latitude, 85.354, longitude, 14.4597
22.0052, latitude, 79.5688, longitude, 14.4596
15.7357, latitude, 73.6103, longitude, 14.4599
10.1589, latitude, 67.7698, longitude, 14.4599
1.67839, latitude, 61.9505, longitude, 14.4597
1.49609, latitude, 61.9505, longitude, 14.4597
0.717448, latitude, 56.1121, longitude, 14.4596
1.57031, latitude, 38.5816, longitude, 14.4597
1.5638, latitude, 38.5816, longitude, 14.4597
0.933594, latitude, 32.6185, longitude, 14.4595
9.33594, latitude, 32.6186, longitude, 14.4596
18.3047, latitude, 20.8545, longitude, 14.4596
21.9831, latitude, 20.8548, longitude, 14.4598
28.4792, latitude, 9.11051, longitude, 14.4599
27.6602, latitude, 3.29237, longitude, 14.4598
8.67318, latitude, -2.57751, longitude, 14.4597
0.726562, latitude, -8.40306, longitude, 14.4598
10.7005, latitude, -14.2055, longitude, 14.4598
19.9375, latitude, -20.1667, longitude, 14.4598
21.5234, latitude, -20.1667, longitude, 14.4598
27.487, latitude, -25.7786, longitude, 14.4602
19.2448, latitude, -26.1043, longitude, 14.4598
28.2396, latitude, -37.507, longitude, 14.4599
25.9401, latitude, -37.823, longitude, 14.4598
28.3307, latitude, -49.2198, longitude, 14.4599
20.0495, latitude, -49.5422, longitude, 14.46
22.3372, latitude, -61.2412, longitude, 14.4599
19.8242, latitude, -61.2412, longitude, 14.4599
23.2409, latitude, -72.9797, longitude, 14.46
11.6693, latitude, -78.63, longitude, 14.4601
8.22786, latitude, -79.5455, longitude, 16.0515
22.6549, latitude, -73.654, longitude, 16.0515
21.9518, latitude, -67.7233, longitude, 16.0516
20.8268, latitude, -61.8661, longitude, 16.0515
20.2852, latitude, -61.8661, longitude, 16.0515
21.5221, latitude, -56.0464, longitude, 16.0517
27.8385, latitude, -56.0467, longitude, 16.0519
27.9857, latitude, -44.5483, longitude, 16.0513
29.5352, latitude, -38.4859, longitude, 16.0514
20.5234, latitude, -32.6359, longitude, 16.0514
24.4948, latitude, -26.8322, longitude, 16.0518
24.4141, latitude, -26.8322, longitude, 16.0518
17.8477, latitude, -20.8602, longitude, 16.0514
15.2734, latitude, -20.8604, longitude, 16.0515
0.361979, latitude, -9.13189, longitude, 16.0516
13.4974, latitude, -9.13203, longitude, 16.0517
27.4544, latitude, 2.53905, longitude, 16.0514
22.4414, latitude, 8.37956, longitude, 16.0516
22.3438, latitude, 14.2798, longitude, 16.0514
22.2995, latitude, 20.0567, longitude, 16.0517
22.4622, latitude, 20.0567, longitude, 16.0517
15.7669, latitude, 26.015, longitude, 16.0515
0.311198, latitude, 26.0148, longitude, 16.0512
1.1224, latitude, 49.4334, longitude, 16.0515
6.85677, latitude, 55.255, longitude, 16.0514
6.96875, latitude, 55.255, longitude, 16.0514
6.89583, latitude, 61.2659, longitude, 16.0513
16.1549, latitude, 61.2659, longitude, 16.0513
19.5052, latitude, 72.9462, longitude, 16.0516
22.931, latitude, 78.6376, longitude, 16.0516
16.306, latitude, 84.5996, longitude, 16.0515
17.0456, latitude, 86.6446, longitude, 17.6469
25.6172, latitude, 80.7905, longitude, 17.6471
21.2174, latitude, 75.018, longitude, 17.6473
21.207, latitude, 75.018, longitude, 17.6473
18.3815, latitude, 68.9602, longitude, 17.6473
7.67188, latitude, 63.1969, longitude, 17.6472
10.5872, latitude, 57.2811, longitude, 17.647
3.54948, latitude, 51.4962, longitude, 17.647
3.25391, latitude, 51.4962, longitude, 17.647
14.9388, latitude, 33.848, longitude, 17.6473
23.5352, latitude, 22.1403, longitude, 17.6469
24.5078, latitude, 22.1406, longitude, 17.6471
22.2904, latitude, 10.4318, longitude, 17.6469
29.5013, latitude, 4.55511, longitude, 17.6468
19.1771, latitude, -1.31272, longitude, 17.6475
0.498698, latitude, -7.11742, longitude, 17.647
15.0052, latitude, -13.1217, longitude, 17.6474
19.6432, latitude, -18.9447, longitude, 17.6473
19.4297, latitude, -18.9447, longitude, 17.6473
26.5391, latitude, -24.715, longitude, 17.6473
19.7591, latitude, -24.7153, longitude, 17.6474
29.4609, latitude, -36.4838, longitude, 17.6476
24.9128, latitude, -42.4, longitude, 17.6474
28.3581, latitude, -48.185, longitude, 17.6474
24.5117, latitude, -54.0156, longitude, 17.6475
24.1576, latitude, -54.0156, longitude, 17.6475
20.6862, latitude, -59.9106, longitude, 17.6473
23.1641, latitude, -60.0618, longitude, 17.6477
21.625, latitude, -71.653, longitude, 17.6475
10.3307, latitude, -77.5844, longitude, 17.6474
8.77474, latitude, -80.1574, longitude, 19.2564
25.694, latitude, -74.3722, longitude, 19.2567
21.7474, latitude, -68.4538, longitude, 19.2563
19.0482, latitude, -62.6991, longitude, 19.2563
18.8763, latitude, -62.6991, longitude, 19.2563
24.694, latitude, -56.7614, longitude, 19.2565
31.1602, latitude, -56.7612, longitude, 19.2564
22.526, latitude, -44.949, longitude, 19.2566
22.8698, latitude, -44.9489, longitude, 19.2563
24.5521, latitude, -33.2266, longitude, 19.2568
25.4323, latitude, -33.2267, longitude, 19.2565
22.7708, latitude, -21.658, longitude, 19.2566
21.3385, latitude, -21.4786, longitude, 19.2564
0.979167, latitude, -9.81204, longitude, 19.2564
13.974, latitude, -3.9516, longitude, 19.2562
30.5547, latitude, 1.83017, longitude, 19.2566
20.6602, latitude, 7.62415, longitude, 19.2565
23.0312, latitude, 13.5827, longitude, 19.2566
24.082, latitude, 19.3727, longitude, 19.2564
24.3646, latitude, 19.3727, longitude, 19.2564
19.9674, latitude, 25.339, longitude, 19.2566
1.60938, latitude, 25.3395, longitude, 19.2565
2.25521, latitude, 48.799, longitude, 19.2568
12.3828, latitude, 48.7994, longitude, 19.2565
10.9206, latitude, 60.4729, longitude, 19.2563
18.7357, latitude, 60.62, longitude, 19.2567
20.7266, latitude, 72.278, longitude, 19.2565
23.168, latitude, 72.2782, longitude, 19.2563
19.8073, latitude, 83.9382, longitude, 19.2568
15.7148, latitude, 87.1027, longitude, 20.824
20.6758, latitude, 81.0996, longitude, 20.8237
22.1836, latitude, 75.3843, longitude, 20.8239
22.2109, latitude, 75.3843, longitude, 20.8239
25.099, latitude, 69.3621, longitude, 20.8238
13.7539, latitude, 69.3621, longitude, 20.8239
16.5625, latitude, 57.5886, longitude, 20.824
5.83464, latitude, 51.8086, longitude, 20.8238
16.2292, latitude, 34.1798, longitude, 20.8239
21.901, latitude, 22.4514, longitude, 20.8241
22.194, latitude, 22.4512, longitude, 20.824
21.599, latitude, 16.5298, longitude, 20.8241
18.6302, latitude, 10.6649, longitude, 20.8243
18.9102, latitude, 10.6649, longitude, 20.8243
29.5, latitude, 4.77615, longitude, 20.8241
21.8346, latitude, -1.11702, longitude, 20.8244
0.602865, latitude, -6.95432, longitude, 20.8242
12.9115, latitude, -12.6687, longitude, 20.824
13.8737, latitude, -12.6687, longitude, 20.824
25.5208, latitude, -18.6139, longitude, 20.8241
23.3685, latitude, -18.771, longitude, 20.824
24.0807, latitude, -30.3983, longitude, 20.8241
22.694, latitude, -36.1791, longitude, 20.8241
24.6081, latitude, -41.8776, longitude, 20.8243
26.6706, latitude, -47.8297, longitude, 20.8242
27.237, latitude, -53.8182, longitude, 20.8239
17.2487, latitude, -59.6099, longitude, 20.8239
17.0664, latitude, -59.6099, longitude, 20.8239
20.401, latitude, -65.5244, longitude, 20.8243
26.2578, latitude, -65.6735, longitude, 20.8242
13.8724, latitude, -77.2801, longitude, 20.8245
0.872396, latitude, -87.6671, longitude, 22.0095
24.543, latitude, -76.2719, longitude, 22.4162
27.2214, latitude, -76.2718, longitude, 22.4165
