13.6615, latitude, 0.699812, longitude, 5.62976e-05
14.5013, latitude, 0.642539, longitude, -1.62361
2.6875, latitude, -5.13317, longitude, -1.62321
2.3737, latitude, -5.13317, longitude, -1.62321
1.77995, latitude, -12.5235, longitude, -3.3694
13.8346, latitude, -0.863794, longitude, -3.36971
13.8581, latitude, -0.671339, longitude, -3.36958
4.16797, latitude, 1.69598, longitude, -4.87908
2.08464, latitude, 1.42343, longitude, -4.87915
1.55339, latitude, -1.33783, longitude, -6.48666
0.960938, latitude, -13.6619, longitude, -9.65679
5.9401, latitude, -14.4153, longitude, -11.3071
0.664062, latitude, -14.4157, longitude, -11.3071
1.74219, latitude, -20.4649, longitude, -12.8833
6.85156, latitude, -14.6871, longitude, -12.8834
5.64583, latitude, -13.8466, longitude, -14.4924
5.5013, latitude, -13.8467, longitude, -14.4928
1.64193, latitude, -19.814, longitude, -14.4923
0.480469, latitude, -21.4968, longitude, -16.1361
4.9349, latitude, -15.6616, longitude, -16.1362
1.01823, latitude, 16.5137, longitude, -17.7108
1.77474, latitude, 16.5137, longitude, -17.711
5.89193, latitude, -12.8741, longitude, -17.7109
3.08333, latitude, -18.6045, longitude, -17.7106
6.29427, latitude, -17.2239, longitude, -19.3047
3.23958, latitude, -11.4108, longitude, -19.305
2.02083, latitude, 11.9562, longitude, -19.3046
1.22005, latitude, 12.1368, longitude, -19.3048
0.889323, latitude, 24.0665, longitude, -20.8299
1.68229, latitude, 12.4095, longitude, -20.8301
1.09766, latitude, -11.014, longitude, -20.8301
1.36719, latitude, -11.1848, longitude, -20.83
2.4987, latitude, -16.9111, longitude, -20.8301
0.858073, latitude, -18.05, longitude, -22.4549
0.334635, latitude, -12.2968, longitude, -22.4549
2.01302, latitude, 11.3262, longitude, -22.4549
1.04167, latitude, 11.3265, longitude, -22.4549
0.407552, latitude, 18.8966, longitude, -24.0015
1.72656, latitude, 13.1834, longitude, -24.001
0.744792, latitude, 10.1696, longitude, -25.9654
1.23438, latitude, 10.1696, longitude, -25.9656
0.316406, latitude, 15.2397, longitude, -28.9268
7.69661, latitude, 4.19824, longitude, 1.65304
14.6367, latitude, -1.83064, longitude, 1.65286
4.52604, latitude, -11.2278, longitude, 3.24138
14.3086, latitude, 0.545087, longitude, 3.24164
0.976562, latitude, 11.8406, longitude, 4.96586
10.2995, latitude, 0.149253, longitude, 4.96594
1.71615, latitude, 0.149217, longitude, 4.96613
1.12891, latitude, -7.10532, longitude, 6.42762
0.440104, latitude, 19.4004, longitude, 8.12956
0.420573, latitude, 19.4004, longitude, 8.12956
0.779948, latitude, 13.5417, longitude, 8.12985
0.779948, latitude, 13.2963, longitude, 8.12964
2.76823, latitude, 16.2425, longitude, 9.60643
3.08073, latitude, 20.291, longitude, 11.2054
3.58594, latitude, 20.0949, longitude, 11.2048
0.669271, latitude, 8.4892, longitude, 11.205
1.03776, latitude, -8.77915, longitude, 12.9023
2.57292, latitude, 3.00098, longitude, 12.9027
7.75, latitude, 14.8132, longitude, 12.9025
2.15755, latitude, 14.8131, longitude, 12.9024
2.63932, latitude, 21.7176, longitude, 14.5701
3.39844, latitude, 21.718, longitude, 14.57
12.0599, latitude, 15.7662, longitude, 14.57
11.6354, latitude, 15.537, longitude, 14.5699
2.47266, latitude, 9.68495, longitude, 14.5699
5.54427, latitude, -7.84345, longitude, 14.5702
5.5612, latitude, -7.84345, longitude, 14.5702
1.39583, latitude, -15.7236, longitude, 16.0675
18.3151, latitude, -9.85714, longitude, 16.0679
2.65625, latitude, -9.85722, longitude, 16.0683
1.54167, latitude, 7.68385, longitude, 16.068
1.61068, latitude, 7.68385, longitude, 16.068
8.91797, latitude, 13.634, longitude, 16.0676
6.23958, latitude, 13.6341, longitude, 16.0678
1.32292, latitude, 23.1951, longitude, 17.632
10.5677, latitude, 23.1949, longitude, 17.632
4.74609, latitude, 11.5479, longitude, 17.6322
17.1914, latitude, -5.99698, longitude, 17.632
9.66927, latitude, -11.8731, longitude, 17.6322
17.9805, latitude, -12.1797, longitude, 19.3533
12.7708, latitude, -12.1798, longitude, 19.3531
4.34245, latitude, 11.174, longitude, 19.3532
6.78906, latitude, 11.401, longitude, 19.3532
0.864583, latitude, 23.0811, longitude, 19.3531
5.50781, latitude, 25.1143, longitude, 20.8827
4.32161, latitude, 13.4882, longitude, 20.8827
8.57943, latitude, -4.1491, longitude, 20.8826
23.7891, latitude, -9.93936, longitude, 20.8825
0.735677, latitude, -10.133, longitude, 20.8826
14.1237, latitude, -19.1873, longitude, 22.4203
13.7643, latitude, -7.64244, longitude, 22.4203
1.36328, latitude, 4.09186, longitude, 22.4202
5.20182, latitude, 15.8509, longitude, 22.4204
1.08594, latitude, 15.8508, longitude, 22.4202
1.06641, latitude, 20.744, longitude, 24.0393
1.07812, latitude, 20.7442, longitude, 24.0388
1.87891, latitude, 14.8456, longitude, 24.0393
1.87109, latitude, 3.04066, longitude, 24.0394
14.1263, latitude, -8.67875, longitude, 24.0394
8.61068, latitude, -8.67858, longitude, 24.0397
8.3112, latitude, -14.8874, longitude, 25.676
1.58464, latitude, -14.8871, longitude, 25.6763
0.591146, latitude, -0.889245, longitude, 27.4347
4.91667, latitude, -12.6968, longitude, 27.4348
0.576823, latitude, -22.5023, longitude, 28.8345
1.35156, latitude, -10.9964, longitude, 28.8348
2.24219, latitude, -10.7529, longitude, 28.8346
3.15885, latitude, 0.924368, longitude, 28.8344
1.72396, latitude, 36.0863, longitude, 28.8347
1.24609, latitude, 36.0865, longitude, 28.8348
2.0026, latitude, 41.6026, longitude, 30.4771
1.80599, latitude, 35.5999, longitude, 30.4776
4.18229, latitude, 0.45067, longitude, 30.4774
0.436198, latitude, -5.39923, longitude, 30.4772
4.70573, latitude, -0.639053, longitude, 32.0929
4.0651, latitude, 34.3456, longitude, 32.0929
5.03906, latitude, 34.5646, longitude, 32.0928
3.42188, latitude, 43.0864, longitude, 33.6121
6.20312, latitude, 37.2381, longitude, 33.6119
0.71875, latitude, 31.3568, longitude, 33.6121
0.518229, latitude, 31.3568, longitude, 33.6121
3.26823, latitude, 2.00512, longitude, 33.612
3.43359, latitude, 2.00512, longitude, 33.612
3.78516, latitude, -3.93148, longitude, 33.6121
3.1901, latitude, -3.93148, longitude, 33.6121
7.13802, latitude, -2.20303, longitude, 35.2514
1.15234, latitude, -2.20273, longitude, 35.2517
1.43229, latitude, 32.9352, longitude, 35.2515
6.01302, latitude, 33.1322, longitude, 35.2516
6.65495, latitude, 38.6659, longitude, 36.8048
0.733073, latitude, 38.6663, longitude, 36.805
2.20573, latitude, 3.64784, longitude, 36.805
5.6888, latitude, 3.42135, longitude, 36.8049
0.716146, latitude, 25.6189, longitude, 38.4211
5.38021, latitude, 37.2769, longitude, 38.4212
4.56901, latitude, 46.0331, longitude, 40.0812
1.29948, latitude, 34.2347, longitude, 40.0811
0.40625, latitude, 24.6646, longitude, 41.7376
2.54688, latitude, 36.3817, longitude, 41.7376
0.703125, latitude, 36.3816, longitude, 41.7378
0.36849, latitude, 46.8913, longitude, 43.2876
0.346354, latitude, 35.2458, longitude, 43.2876
