2.38281, latitude, 39.2082, longitude, -9.65713
20.4596, latitude, 44.9809, longitude, -9.65686
17.4401, latitude, 50.987, longitude, -9.65728
4.40104, latitude, 56.815, longitude, -9.65718
0.670573, latitude, 62.6267, longitude, -9.65709
40.4375, latitude, 68.5635, longitude, -9.65685
18.2734, latitude, 74.3803, longitude, -9.65712
7.06771, latitude, 80.2683, longitude, -9.65706
2.3151, latitude, 85.3083, longitude, -11.3073
12.8229, latitude, 79.4271, longitude, -11.3073
43.7344, latitude, 73.5485, longitude, -11.3074
23.0417, latitude, 67.7495, longitude, -11.3071
9.56771, latitude, 55.9128, longitude, -11.3073
11.0404, latitude, 50.0759, longitude, -11.3076
23.6979, latitude, 44.2492, longitude, -11.307
0.721354, latitude, 26.7834, longitude, -11.3071
15.9805, latitude, 20.7297, longitude, -11.3069
11.7969, latitude, 20.7293, longitude, -11.3072
25.6888, latitude, 9.16808, longitude, -11.3069
18.3203, latitude, 8.95918, longitude, -11.3072
26.3958, latitude, -2.71422, longitude, -11.3071
40.1367, latitude, -2.71385, longitude, -11.307
37.8581, latitude, -14.4153, longitude, -11.3071
32.2487, latitude, -14.4157, longitude, -11.3071
1.3737, latitude, -26.1725, longitude, -11.3073
43.6497, latitude, -55.3538, longitude, -11.3069
41.9479, latitude, -61.2035, longitude, -11.3069
3.34375, latitude, -67.1197, longitude, -11.3068
1.26302, latitude, -73.0057, longitude, -11.307
0.31901, latitude, -78.8328, longitude, -11.3067
9.11328, latitude, -67.4278, longitude, -12.8835
57.3581, latitude, -61.6426, longitude, -12.8833
32.7526, latitude, -55.643, longitude, -12.8836
2.02604, latitude, -26.3966, longitude, -12.8836
41.6979, latitude, -20.4649, longitude, -12.8833
41.6484, latitude, -14.6871, longitude, -12.8834
39.013, latitude, -8.9221, longitude, -12.8832
28.0247, latitude, -2.9095, longitude, -12.8837
27.0911, latitude, 2.95267, longitude, -12.8835
25.1823, latitude, 8.83138, longitude, -12.8834
17.1458, latitude, 14.7265, longitude, -12.8835
19.4727, latitude, 20.4134, longitude, -12.8838
0.324219, latitude, 26.3064, longitude, -12.8837
0.384115, latitude, 38.0569, longitude, -12.8834
22.9115, latitude, 44.0066, longitude, -12.8836
11.3594, latitude, 49.7966, longitude, -12.8834
7.39714, latitude, 55.7331, longitude, -12.8834
28.1862, latitude, 67.4518, longitude, -12.8839
38.1693, latitude, 73.1445, longitude, -12.8836
16.5482, latitude, 79.1786, longitude, -12.8836
0.634115, latitude, 84.947, longitude, -12.8836
16.0208, latitude, 80.1154, longitude, -14.4927
42.3932, latitude, 74.3278, longitude, -14.4925
19.1654, latitude, 68.4765, longitude, -14.4929
0.748698, latitude, 56.6541, longitude, -14.4926
2.2526, latitude, 50.9502, longitude, -14.4924
10.9779, latitude, 44.9677, longitude, -14.4926
5.17969, latitude, 44.9678, longitude, -14.4929
0.591146, latitude, 33.2747, longitude, -14.4926
3.64714, latitude, 27.4725, longitude, -14.4926
37.9518, latitude, 21.5259, longitude, -14.4926
32.6341, latitude, 21.5258, longitude, -14.4927
25.944, latitude, 9.76086, longitude, -14.4922
26.5951, latitude, 9.76108, longitude, -14.4924
37.75, latitude, 3.79583, longitude, -14.4927
36.9714, latitude, 3.7961, longitude, -14.4924
31.0339, latitude, -2.16734, longitude, -14.4925
33.4648, latitude, -2.16744, longitude, -14.4925
37.9792, latitude, -13.8466, longitude, -14.4924
37.5716, latitude, -13.8467, longitude, -14.4928
31.5677, latitude, -19.814, longitude, -14.4923
1.63411, latitude, -19.814, longitude, -14.4924
0.628906, latitude, -43.1325, longitude, -14.4923
26.1042, latitude, -55.013, longitude, -14.4927
51.388, latitude, -60.78, longitude, -14.4922
17.2604, latitude, -66.6124, longitude, -14.4926
15.8724, latitude, -68.4572, longitude, -16.1365
48.2031, latitude, -62.549, longitude, -16.136
25.4258, latitude, -56.6234, longitude, -16.1362
2.91536, latitude, -44.926, longitude, -16.1365
0.785156, latitude, -27.3895, longitude, -16.1365
22.168, latitude, -21.4968, longitude, -16.1361
28.9596, latitude, -15.6616, longitude, -16.1362
30.3919, latitude, -9.7285, longitude, -16.1362
30.4779, latitude, -3.94128, longitude, -16.1364
39.8346, latitude, 1.95543, longitude, -16.1362
32.5013, latitude, 7.85378, longitude, -16.1363
34.6276, latitude, 13.6067, longitude, -16.1361
48.4453, latitude, 19.4719, longitude, -16.1363
6.78385, latitude, 25.3139, longitude, -16.1362
0.535156, latitude, 31.3841, longitude, -16.1364
11.7812, latitude, 37.2214, longitude, -16.1363
6.43359, latitude, 43.1022, longitude, -16.1364
